,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,ayagoz,0,KZ,1577324343,76,47.96,80.43,8.85,6.35
389,srednekolymsk,100,RU,1577324343,98,67.46,153.71,-17.75,2.89
390,buraydah,0,SA,1577324343,62,26.33,43.97,57.2,6.93
391,salinopolis,77,BR,1577324343,80,-0.61,-47.36,82.89,17.38
392,hovd,90,NO,1577324318,92,63.83,10.7,39.99,9.17
393,beyneu,33,KZ,1577324343,64,45.32,55.19,36.57,10.13
394,shimoda,75,JP,1577324227,67,34.7,138.93,59.0,2.24
395,nivala,98,FI,1577324343,95,63.93,24.96,28.0,3.96
396,pleasant point,1,US,1577324343,93,38.87,-85.18,55.0,3.36
397,sayyan,100,YE,1577324344,60,15.17,44.32,44.51,0.67
398,osakarovka,0,KZ,1577324344,78,50.56,72.58,11.77,10.4
399,pochutla,20,MX,1577324344,88,15.74,-96.47,78.8,3.36
400,bubaque,99,GW,1577324344,64,11.28,-15.83,80.82,4.76
401,manakara,49,MG,1577324344,90,-22.14,48.01,75.85,1.43
402,harihar,15,IN,1577324344,74,14.52,75.8,73.17,8.1
403,bismarck,90,US,1577324226,100,46.81,-100.78,19.4,9.17
404,leavenworth,1,US,1577324344,74,47.6,-120.66,35.6,5.82
405,amuntai,89,ID,1577324345,57,-2.42,115.25,88.45,4.56
406,sinnamary,100,GF,1577324345,82,5.38,-52.96,80.28,13.8
407,half moon bay,20,LR,1577324345,94,6.38,-10.7,77.0,1.34
408,teahupoo,75,PF,1577324345,62,-17.83,-149.27,86.0,8.05
409,bafra,40,TR,1577324345,93,41.57,35.91,44.6,4.7
410,payson,90,US,1577324345,86,40.04,-111.73,35.01,3.36
411,brigantine,1,US,1577324346,80,39.41,-74.36,39.99,2.08
412,sept-iles,5,CA,1577324346,60,50.2,-66.38,8.6,12.75
413,miramar,47,CR,1577324346,73,10.09,-84.73,73.4,10.29
414,kahului,40,US,1577324346,51,20.89,-156.47,82.4,28.86
415,axim,0,GH,1577324346,86,4.87,-2.24,76.28,2.21
416,tucupita,84,VE,1577324346,94,9.06,-62.05,71.08,2.66
417,carndonagh,100,IE,1577324346,82,55.25,-7.27,41.94,13.85
418,solnechnyy,83,RU,1577324346,87,50.72,136.64,-11.34,3.44
419,bandarbeyla,17,SO,1577324347,72,9.49,50.81,76.95,24.47
420,vagay,98,RU,1577324347,92,57.94,69.02,0.12,6.31
421,rodrigues alves,12,BR,1577324347,97,-24.07,-48.35,64.53,4.29
422,nizhnyaya omka,100,RU,1577324347,99,63.47,41.61,33.33,3.78
423,sao filipe,79,IN,1577324347,77,20.51,76.21,69.15,4.43
424,cockburn town,0,AU,1577324347,16,-32.08,141.0,93.2,8.05
425,klaksvik,0,FO,1577324280,93,62.23,-6.59,39.2,9.17
426,gulaothi,40,IN,1577324347,100,28.6,77.78,44.6,6.93
427,mabaruma,24,GY,1577324347,99,8.2,-59.78,70.61,1.54
428,conakry,100,GN,1577324215,94,9.52,-13.7,77.0,6.93
429,ixtapa,5,MX,1577324285,78,20.71,-105.21,77.0,5.82
430,yumen,0,CN,1577324348,39,40.29,97.04,19.09,22.75
431,takayama,75,JP,1577324348,76,36.14,137.25,48.2,3.36
432,santa marinella,4,PH,1577324348,56,17.49,120.43,87.26,4.23
433,nantucket,1,US,1577324348,92,41.28,-70.1,33.01,2.48
434,pecos,1,US,1577324348,50,31.42,-103.49,59.0,3.89
435,mandan,90,US,1577324142,100,46.83,-100.89,19.4,9.17
436,sechura,23,PE,1577324348,85,-5.56,-80.82,70.07,10.13
437,genhe,2,CN,1577324348,87,50.78,121.52,-16.89,2.84
438,kulhudhuffushi,12,MV,1577324349,80,6.62,73.07,82.58,16.22
439,mason city,1,US,1577324104,66,39.36,-84.31,55.4,4.7
440,punta gorda,75,PH,1577324349,83,14.18,121.12,84.0,8.05
441,fairbanks,75,US,1577324349,75,64.84,-147.72,-14.8,1.83
442,helsinki,75,FI,1577324349,86,60.17,24.94,34.0,8.05
443,candido mendes,4,CO,1577324349,94,1.25,-75.6,72.81,1.63
444,jieshou,67,CN,1577324349,47,33.26,115.35,42.06,11.32
445,cam ranh,77,AR,1577324349,40,-38.98,-67.82,71.6,3.36
446,aksu,90,KZ,1577324349,73,52.04,76.93,19.4,13.42
447,porto walter,40,PT,1577324109,100,41.15,-8.61,57.99,2.55
448,bambous virieux,75,MU,1577324350,78,-20.26,57.41,79.0,17.22
449,arlit,0,NE,1577324350,22,18.74,7.39,62.02,11.95
450,alice springs,72,ZA,1577324350,91,-32.79,26.83,56.93,1.45
451,isangel,75,VU,1577324350,58,-19.55,169.27,86.0,9.17
452,port moresby,100,CD,1577324296,73,-7.04,29.76,76.3,13.98
453,russell,1,US,1577324350,60,38.9,-98.86,48.99,9.17
454,sosnogorsk,88,RU,1577324350,95,63.59,53.93,-1.57,4.09
455,mana,0,NG,1577324350,9,13.03,5.27,60.8,12.44
456,port hedland,100,CD,1577324305,73,-7.04,29.76,76.3,13.98
457,kavieng,100,PG,1577324351,76,-2.57,150.8,82.69,12.53
458,linxia,0,CN,1577324351,45,35.6,103.21,16.57,3.42
459,hambantota,40,LK,1577324351,100,6.12,81.12,73.4,2.24
460,fare,100,PF,1577324351,84,-16.7,-151.02,78.39,19.42
461,moskovskiy,90,RU,1577324351,86,55.6,37.35,34.0,4.47
462,progreso,90,UY,1577324351,82,-34.68,-56.22,62.01,12.75
463,choma,100,ZM,1577324351,73,-16.81,26.98,68.67,5.5
464,ipixuna,100,BR,1577324351,83,-1.76,-48.8,80.6,4.7
465,beringovskiy,81,RU,1577324158,99,63.05,179.32,-11.96,14.16
466,bell ville,75,AU,1577324352,54,-26.93,151.45,87.01,13.87
467,loa janan,100,US,1577324352,83,38.4,-111.64,33.01,1.01
468,gaoua,0,BF,1577324215,14,10.33,-3.18,63.45,3.09
469,ambikapur,52,IN,1577324352,84,23.12,83.2,60.6,4.12
470,margate,20,AU,1577324352,46,-43.03,147.26,79.0,12.75
471,niquelandia,92,BR,1577324352,94,-14.47,-48.46,68.36,4.7
472,koregaon,98,IN,1577324352,73,17.7,74.16,71.38,3.44
473,laguna,20,BZ,1577324352,78,16.17,-88.94,73.4,0.74
474,anyksciai,100,LT,1577324352,89,55.53,25.1,36.64,9.66
475,amapa,20,HN,1577324123,83,15.09,-87.97,71.6,4.7
476,veraval,100,FR,1577324353,93,49.65,0.71,41.0,5.82
477,pangnirtung,72,CA,1577324145,53,66.15,-65.72,3.13,5.32
478,osorno,94,CL,1577324353,85,-40.57,-73.14,46.94,3.83
479,pandan,13,PH,1577324353,71,11.72,122.09,81.61,5.35
480,campbellsville,1,US,1577324353,81,37.34,-85.34,57.2,7.36
481,strezhevoy,75,RU,1577324353,74,60.73,77.6,-22.0,4.47
482,leshukonskoye,100,RU,1577324353,95,64.9,45.76,16.11,5.79
483,anshun,100,CN,1577324353,82,26.25,105.93,42.31,13.96
484,ormara,0,PK,1577324353,39,25.21,64.64,72.39,3.83
485,faya,45,SA,1577324230,93,18.39,42.45,51.8,0.83
486,westport,1,US,1577324282,77,41.14,-73.36,37.99,1.74
487,beloha,39,MG,1577324345,61,-25.17,45.06,78.31,5.14
488,muros,75,ES,1577324354,87,42.77,-9.06,55.0,3.36
489,grand-santi,97,GF,1577324354,99,4.27,-54.38,72.12,1.7
490,porto novo,40,PT,1577324066,100,41.15,-8.61,57.99,2.55
491,avera,1,US,1577324354,93,33.19,-82.53,48.2,5.12
492,senador jose porfirio,36,HT,1577324354,94,18.82,-71.9,77.0,6.93
493,guilin,90,CN,1577324354,93,25.28,110.29,50.0,6.71
494,taltal,8,CL,1577324354,91,-25.41,-70.49,56.71,1.99
495,cururupu,92,BR,1577324354,93,-1.82,-44.87,76.06,3.06
496,sharjah,0,AE,1577324230,59,25.36,55.39,64.4,3.36
497,stillwater,1,US,1577324355,51,36.12,-97.06,63.0,8.05
498,champerico,5,MX,1577324355,60,16.38,-93.6,73.4,12.75
499,puyang,0,CN,1577324176,31,35.76,115.02,40.64,7.76
500,tessalit,0,ML,1577324355,23,20.2,1.01,58.86,10.65
501,makat,88,KZ,1577324355,77,47.65,53.35,31.24,8.16
502,batagay-alyta,54,RU,1577324233,68,67.8,130.41,-26.48,2.19
503,toba,75,JP,1577324355,66,34.47,136.83,50.0,11.41
504,weihe,100,CN,1577324355,24,32.99,105.33,33.91,3.74
505,lobez,75,PL,1577324355,93,53.64,15.62,39.99,3.36
506,miracema do tocantins,1,BR,1577324355,96,-21.41,-42.2,69.08,1.16
507,aland,94,IN,1577324345,77,17.57,76.57,71.46,7.27
508,komatipoort,12,MZ,1577324356,83,-25.43,31.96,75.2,1.12
509,myitkyina,2,MM,1577324356,49,25.38,97.4,64.33,3.42
510,roma,0,IT,1577324512,70,41.89,12.48,50.0,6.93
511,palana,94,RU,1577324916,63,59.08,159.95,0.75,8.86
512,cooma,0,AU,1577324916,30,-36.24,149.13,82.4,6.93
513,havant,100,GB,1577324916,92,50.85,-0.98,48.0,3.36
514,biak,81,ID,1577324916,68,-0.91,122.88,83.8,1.14
515,azua,1,DO,1577324916,90,18.45,-70.73,67.37,3.76
516,oyem,22,GA,1577324916,99,1.6,11.57,67.5,2.66
517,paka,0,CF,1577324916,42,4.15,15.03,67.28,2.62
518,methoni,0,GR,1577324916,75,36.82,21.7,48.99,4.7
519,bend,90,US,1577324916,92,44.06,-121.32,32.0,6.93
520,perth,20,AU,1577324774,69,-31.95,115.86,80.01,8.05
521,jaisalmer,0,IN,1577324917,24,26.91,70.91,55.81,4.61
